template,K,i0_k5,i1_k5
0.0,5.0,0.4902346764186602,0.1833162847233768
0.0,5.0,0.4806604141174002,0.17973096956292112
0.0,5.0,0.4712960896445995,0.17622057642793026
0.0,5.0,0.4620914454803158,0.17277767916235454
0.0,5.0,0.4530050458350833,0.16940166674927656
0.0,5.0,0.4441607031020931,0.16609408395507103
0.0,5.0,0.4354905814446327,0.1628400416208439
0.0,5.0,0.4269839655605544,0.15965865038784452
0.0,5.0,0.4186360041317034,0.1565484794412738
0.0,5.0,0.4104603714797064,0.15349030744481068
0.0,5.0,0.402441902796232,0.15051579938428836
0.0,5.0,0.3945815410904937,0.1475768374843983
0.0,5.0,0.3868747668911566,0.1446718200386822
0.0,5.0,0.3794051163094938,0.14184578463380015
0.0,5.0,0.3719938978341743,0.13907545149055087
0.0,5.0,0.3647178201441045,0.13635784121354413
0.0,5.0,0.3575923885354747,0.13369345231297458
0.0,5.0,0.3506435543070385,0.1310939988469473
0.0,5.0,0.3438007502563908,0.12853271992294446
0.0,5.0,0.3370849972268018,0.12602748088766894
0.0,5.0,0.3305009599300392,0.12356786073271334
0.0,5.0,0.3240431052710411,0.1211734981725716
0.0,5.0,0.3177147958213283,0.1188076283106987
0.0,5.0,0.311506208068164,0.11648671818874198
0.0,5.0,0.3050340259227906,0.08700210791911508
0.0,5.0,0.2990875250712251,0.08530302479481716
0.0,5.0,0.2932463027460042,0.08346478018702956
0.0,5.0,0.2875222742247312,0.08264415461093437
0.0,5.0,0.281906797780419,0.08102425489654955
0.0,5.0,0.2764044468022735,0.07941458006487963
0.0,5.0,0.2710074565762542,0.07779405586359651
0.0,5.0,0.2652724804150664,0.0762768627850945
0.0,5.0,0.2606313418485988,0.07479246296735788
0.0,5.0,0.2555404647501596,0.07324723936186531
0.0,5.0,0.2505519457676843,0.07181913174213303
0.0,5.0,0.2456606813486934,0.07040733504179034
0.0,5.0,0.2408453217623827,0.06902591388640973
0.0,5.0,0.2404207821616718,0.0676320269459765
0.0,5.0,0.2357269336097045,0.06631120994131906
0.0,5.0,0.2311179390821054,0.06501966403449531
0.0,5.0,0.2266039634178748,0.06374986680520058
0.0,5.0,0.2220449237743643,0.06248367613865598
0.0,5.0,0.2177078651601378,0.061285243230879076
0.0,5.0,0.2134205993142861,0.06008856895151364
0.0,5.0,0.2092487740549181,0.05891260439251221
