,gamma_sample,k,run,timestep,sample
0,0.02005966065413385,5.0,10.0,0.0,10
1,0.010642082637508321,4.97,10.0,300.0,10
2,0.024663096151770328,4.94,10.0,600.0,10
3,0.04167963704751558,4.91,10.0,900.0,10
4,0.020041580737714206,4.88,10.0,1200.0,10
5,0.020022160184905997,4.85,10.0,1500.0,10
6,0.014718613500241003,4.82,10.0,1800.0,10
7,0.15631062628610415,4.79,10.0,2100.0,10
8,0.02450790127251726,4.76,10.0,2400.0,10
9,0.007715776132021086,4.73,10.0,2700.0,10
10,0.016831854542886118,4.7,10.0,3000.0,10
11,0.028380165803410504,4.67,10.0,3300.0,10
12,0.015832526855723776,4.64,10.0,3600.0,10
13,0.021182535995443615,4.61,10.0,3900.0,10
14,0.023459070715155357,4.58,10.0,4200.0,10
15,0.005779154634851361,4.55,10.0,4500.0,10
16,0.030144435059495017,4.52,10.0,4800.0,10
17,0.026763808678503982,4.49,10.0,5100.0,10
18,0.043783989744284824,4.46,10.0,5400.0,10
19,0.012982869372105436,4.43,10.0,5700.0,10
20,0.047177863052920696,4.4,10.0,6000.0,10
21,0.03996470291870239,4.37,10.0,6300.0,10
22,0.04627752300094927,4.34,10.0,6600.0,10
23,0.0163063723263987,4.31,10.0,6900.0,10
24,0.02100786730008332,4.28,10.0,7200.0,10
25,0.029952243094030436,4.25,10.0,7500.0,10
26,0.009201816316387383,4.22,10.0,7800.0,10
27,0.02454200769606344,4.19,10.0,8100.0,10
28,0.041073582524527696,4.16,10.0,8400.0,10
29,0.02467608244232869,4.13,10.0,8700.0,10
30,0.06903737105863508,4.1,10.0,9000.0,10
31,0.03354968017955598,4.07,10.0,9300.0,10
32,0.047473662330998465,4.04,10.0,9600.0,10
33,0.02197887386912841,4.01,10.0,9900.0,10
34,0.0291825439356336,3.98,10.0,10200.0,10
35,0.023177757547842192,3.95,10.0,10500.0,10
36,0.04618874342623739,3.92,10.0,10800.0,10
37,0.03847511236599968,3.89,10.0,11100.0,10
38,0.024961040270139904,3.86,10.0,11400.0,10
