,gamma_sample,k,run
0,0.019594580610772735,10.0,0.0
1,0.016324832471322544,10.0,1.0
2,0.014649378851801717,10.0,2.0
3,0.024860827568476497,10.0,3.0
4,0.02740351535721943,10.0,4.0
5,0.020042888544679355,10.0,5.0
6,0.014683488184943513,10.0,6.0
7,0.021482824751971944,10.0,7.0
8,0.027992184724089837,10.0,8.0
9,0.02238373744216849,10.0,9.0
10,0.03015175616677099,10.0,10.0
11,0.026426574959391092,10.0,11.0
12,0.025160059653776556,10.0,12.0
13,0.03079748484551472,10.0,13.0
14,0.026341744921020004,10.0,14.0
15,0.02070937295804827,10.0,15.0
16,0.021081721351331524,10.0,16.0
17,0.01656012777437396,10.0,17.0
18,0.018246138377553574,10.0,18.0
19,0.015106077048759055,10.0,19.0
20,0.009623864912376021,10.0,20.0
21,0.02904281295473744,10.0,21.0
22,0.021866469650484794,10.0,22.0
23,0.018357171851063604,10.0,23.0
24,0.0324167295981238,10.0,24.0
25,0.03587367007348439,10.0,25.0
26,0.013373784749615869,10.0,26.0
27,0.021815763310498854,10.0,27.0
28,0.01817989629690351,10.0,28.0
29,0.031148472771211824,10.0,29.0
30,0.03347756918290814,10.0,30.0
31,0.03670469901775368,10.0,31.0
32,0.01751900286528227,10.0,32.0
33,0.024801631835666586,10.0,33.0
34,0.016543197832763475,10.0,34.0
35,0.027865285677804563,10.0,35.0
36,0.015052371367574474,10.0,36.0
37,0.03301617125276156,10.0,37.0
38,0.023595697856377686,10.0,38.0
39,0.024868146276697565,10.0,39.0
40,0.02932110150917968,10.0,40.0
41,0.01497617417688617,10.0,41.0
42,0.025260105875936335,10.0,42.0
43,0.028934411551285903,10.0,43.0
44,0.019496659839809933,10.0,44.0
45,0.013875988813902528,10.0,45.0
46,0.013265806995013611,10.0,46.0
47,0.013422474697625367,10.0,47.0
48,0.020319736271580516,10.0,48.0
49,0.01818282111064176,10.0,49.0
50,0.026128869643213894,10.0,50.0
51,0.028002916158756615,10.0,51.0
52,0.02177208270599213,10.0,52.0
53,0.02139958234464661,10.0,53.0
54,0.03916757714750263,10.0,54.0
55,0.031075572766885093,10.0,55.0
56,0.05934254398162477,10.0,56.0
57,0.02723353935577402,10.0,57.0
58,0.02466699216770446,10.0,58.0
59,0.038571758481097514,10.0,59.0
60,0.02311806014623316,10.0,60.0
61,0.020232959430794548,10.0,61.0
62,0.021413000784957066,10.0,62.0
63,0.025265574592783165,10.0,63.0
64,0.016005054188207038,10.0,64.0
65,0.0210350445148862,10.0,65.0
66,0.029778466857349743,10.0,66.0
67,0.03261658157068992,10.0,67.0
68,0.030938679355598485,10.0,68.0
69,0.021713457909992368,10.0,69.0
70,0.017020066300733185,10.0,70.0
71,0.037389305060586596,10.0,71.0
72,0.016333066073984027,10.0,72.0
73,0.01165312067566059,10.0,73.0
74,0.016798034639586977,10.0,74.0
75,0.021118173728512553,10.0,75.0
76,0.011858950882445363,10.0,76.0
77,0.02093186055784802,10.0,77.0
78,0.017933979768270505,10.0,78.0
79,0.02231904224703003,10.0,79.0
80,0.014453428532610009,10.0,80.0
81,0.024099439655127855,10.0,81.0
82,0.022690313559586808,10.0,82.0
83,0.0187123487028199,10.0,83.0
