template,K,i0_k5,i1_k5
0.0,5.0,0.4903743345364219,0.21843801279517605
0.0,5.0,0.4810776791753054,0.21344903330408566
0.0,5.0,0.4726321256604832,0.20929815171243482
0.0,5.0,0.4630542639158224,0.20424796484435798
0.0,5.0,0.4529854761697018,0.19990801314892254
0.0,5.0,0.4458299684576296,0.1971173696134211
0.0,5.0,0.4372718133008793,0.19264149938723127
0.0,5.0,0.4287359095460036,0.18862548415278274
0.0,5.0,0.418755345329209,0.18568875985889147
0.0,5.0,0.4112595958865666,0.18069747398376468
0.0,5.0,0.4027213473022661,0.18009903934074467
0.0,5.0,0.3946167760886673,0.17653153836401161
0.0,5.0,0.3868037046267639,0.1712395978333583
0.0,5.0,0.3813246128479958,0.16710230120120634
0.0,5.0,0.3737206624565108,0.16376409131777375
0.0,5.0,0.365813760464582,0.16028669909549953
0.0,5.0,0.3583335541623072,0.15660978234040362
0.0,5.0,0.352504649613626,0.1542335761413245
0.0,5.0,0.3462904853240353,0.1509503464930675
0.0,5.0,0.3388791057354964,0.1485549353494709
0.0,5.0,0.3317600423783363,0.14599583545380665
0.0,5.0,0.3248983563201501,0.14420412051384088
0.0,5.0,0.3190029280392844,0.1418331455283517
0.0,5.0,0.3124025254442176,0.13893706785933504
0.0,5.0,0.298328420036527,0.12576644015355093
0.0,5.0,0.2933838436133991,0.12347302439473416
0.0,5.0,0.2876306948343531,0.1199019025773662
0.0,5.0,0.2827202496450419,0.1288629139773526
0.0,5.0,0.2773114483578012,0.1265066403106409
0.0,5.0,0.2724880146742303,0.12437100129564159
0.0,5.0,0.2680007132440961,0.11800175627529062
0.0,5.0,0.2610885866064391,0.11611329280327154
0.0,5.0,0.2559829811867591,0.11457298153647956
0.0,5.0,0.2507466050611776,0.11071536752764125
0.0,5.0,0.245952640094946,0.10896755451421854
0.0,5.0,0.2416520789457843,0.10588674913852168
0.0,5.0,0.2372231349127739,0.10281078853285425
0.0,5.0,0.259657411677347,0.09886894932185554
0.0,5.0,0.2543991634031655,0.09682530391934609
0.0,5.0,0.249121459796297,0.09604196969202917
0.0,5.0,0.2446118739955406,0.09426272196404978
0.0,5.0,0.2386039007206679,0.09012728347691933
0.0,5.0,0.2333065084167557,0.09108867506984117
0.0,5.0,0.2269527670455074,0.08940657542130488
0.0,5.0,0.2219933521251377,0.08712485209261554
0.0,5.0,0.2174439292547696,0.08497859550146225
0.0,5.0,0.2137386056606786,0.08327139482367057
0.0,5.0,0.2094263269402392,0.08150395633482524
0.0,5.0,0.2058301311235246,0.08089097901098687
0.0,5.0,0.2010522515570198,0.0776186947579344
0.0,5.0,0.196935365687994,0.07714526784251405
0.0,5.0,0.1914239843135456,0.07564759193433619
0.0,5.0,0.1910828481580428,0.07576668110902131
0.0,5.0,0.1859156773886987,0.07367891313329258
0.0,5.0,0.1823792926235845,0.06948363228109482
0.0,5.0,0.1791385231919979,0.06783106140626341
0.0,5.0,0.1760890792934875,0.0672370641177693
0.0,5.0,0.1731031535049498,0.06642868977839456
0.0,5.0,0.168367627229644,0.06521499600853937
0.0,5.0,0.1649725076005919,0.06209172068935233
0.0,5.0,0.1614958952217656,0.06096882005736367
0.0,5.0,0.1582577103806327,0.059342004366004945
0.0,5.0,0.155431615524625,-0.017367699275288473
0.0,5.0,0.152549126695615,-0.015688241440652645
0.0,5.0,0.1503504133499448,-0.015367544467513998
0.0,5.0,0.145554365568874,-0.014594148904184224
0.0,5.0,0.1428385241479179,-0.014111700520553336
0.0,5.0,0.1411827184359006,-0.01399643958161281
0.0,5.0,0.1396743285920439,-0.012460578616575383
0.0,5.0,0.1378809727884949,-0.012295813050529555
0.0,5.0,0.1329947111234521,-0.011526840745913364
0.0,5.0,0.1318540873024445,-0.011053868581591757
0.0,5.0,0.1290681048397946,-0.010610285828497192
0.0,5.0,0.1264482026654888,-0.010893502793618181
0.0,5.0,0.1258169540627772,-0.009447216767864381
0.0,5.0,0.1233648733131013,-0.008794176885155698
0.0,5.0,0.1200196345998499,-0.008974923004233784
0.0,5.0,0.1149550780450762,-0.008138260925669293
0.0,5.0,0.1119474884677439,-0.008482565976280441
0.0,5.0,0.1100468734442932,-0.008263641217326355
0.0,5.0,0.1069628959125152,-0.008493767808639436
0.0,5.0,0.1049020621882441,-0.008478471564386702
0.0,5.0,0.1027075747775033,-0.00834938508303625
0.0,5.0,0.1004633130364755,-0.009564510175408391
0.0,5.0,0.0983112279884851,-0.00901045305373285
0.0,5.0,0.0955074822522027,-0.00764218183377999
0.0,5.0,0.0933182823263711,-0.007639443652740735
0.0,5.0,0.091454685963811,-0.008053803672100813
0.0,5.0,0.0897235592596641,-0.008090282843895005
0.0,5.0,0.0883355560187537,-0.0044359443391700955
0.0,5.0,0.0867778242531985,-0.004305047211828316
0.0,5.0,0.0853724262046347,0.0021721654408550064
0.0,5.0,0.0840975254610972,0.0006918555703832947
0.0,5.0,0.0823204823266514,-0.0004667125265878267
0.0,5.0,0.0816167819729097,-0.00025669656238952725
0.0,5.0,0.0808779086801215,0.002657017515818094
0.0,5.0,0.0797553894536201,0.0025000879467875063
0.0,5.0,0.0776942638765815,0.001922550793456402
0.0,5.0,0.0760982748038212,0.0009019387482237201
0.0,5.0,0.0724666013347104,0.0009596406151626427
0.0,5.0,0.0717131948437008,0.0009580841933262974
0.0,5.0,0.070355073578947,0.0013111885139855616
0.0,5.0,0.066068734270747,0.0006598907695765292
0.0,5.0,0.0640193146574096,0.000908978806060281
0.0,5.0,0.0597447895877924,0.0012538821050881875
0.0,5.0,0.0627988403529122,-0.0015137375844449963
0.0,5.0,0.064079677376442,-0.002774824333411188
0.0,5.0,0.0628237230384632,-0.0026884712085384257
0.0,5.0,0.0615342214063538,-0.0025443537118778033
0.0,5.0,0.0603194346179612,-0.003134189701586473
0.0,5.0,0.0589947606520845,-0.016320801933679272
0.0,5.0,0.0599729162750294,-0.014562184867793048
0.0,5.0,0.0639351662865399,-0.014763371583355092
0.0,5.0,0.0628261683015891,-0.010897709222584043
0.0,5.0,0.0614757474441257,-0.0106418143188059
0.0,5.0,0.0602074853934615,-0.010821376989138152
0.0,5.0,0.0586785953548636,-0.00884501425550638
0.0,5.0,0.0581398586507524,-0.008430592164756216
0.0,5.0,0.0578804350810661,-0.00878168133733105
0.0,5.0,0.0633239918355222,-0.009386584345657267
0.0,5.0,0.0613673559911672,-0.008971383703141756
0.0,5.0,0.0602274134763696,-0.012168932885526038
0.0,5.0,0.0599731168620734,-0.011604394026394498
0.0,5.0,0.0589936929949949,-0.011092559090575107
0.0,5.0,0.0576997280076875,-0.00993737243806065
0.0,5.0,0.0565711236596258,-0.01042634124499357
0.0,5.0,0.0553900723404151,-0.010214212385436457
0.0,5.0,0.0538594324965455,-0.010073600288402379
0.0,5.0,0.0530769718025662,-0.010473814043213847
0.0,5.0,0.0521624697672666,-0.0008266635748269031
0.0,5.0,0.0501286604454257,0.0009676789309249903
0.0,5.0,0.0455668622097478,-0.0007676552435339437
0.0,5.0,0.0429803366834348,0.00028311236313829187
0.0,5.0,0.0417162395866986,0.0017278433467777829
0.0,5.0,0.0416555486264948,-0.000669366492205167
0.0,5.0,0.0294514799525544,-0.0005953830220513539
0.0,5.0,0.02808333374709,-0.0036080922868243115
0.0,5.0,0.0272986474332904,-0.0017134344232551284
0.0,5.0,0.0264890974037772,-0.0018917869158516668
0.0,5.0,0.026134280243603,-0.0019082364306876225
0.0,5.0,0.0272708725372785,-0.005540632845484001
0.0,5.0,0.0275416166958002,-0.004968352749680238
0.0,5.0,0.0276659321299655,-0.010554006665174281
0.0,5.0,0.0275042009596384,-0.010048960296155393
0.0,5.0,0.0273630146760534,-0.009908119187903009
0.0,5.0,0.0262882809449978,-0.009632775298339755
0.0,5.0,0.0244518496098787,-0.009260637348037492
0.0,5.0,0.0241850974061301,-0.009072905654165544
0.0,5.0,0.0389659225801045,-0.00917631992213087
0.0,5.0,0.0396276534297176,-0.01067360599669971
0.0,5.0,0.0382121552000221,-0.010758581463993179
0.0,5.0,0.0373093827368768,-0.010215682777494866
0.0,5.0,0.0364740003825083,-0.009535862584907557
0.0,5.0,0.0362294664574511,-0.008220678696241492
0.0,5.0,0.0786247791588233,-0.008421861621289994
0.0,5.0,0.0773133835736059,-0.00846574358698427
0.0,5.0,0.0775562847450075,-0.008196308256519897
0.0,5.0,0.0751982442734215,-0.007946293291575493
0.0,5.0,0.0745773338827394,-0.007679824420021691
0.0,5.0,0.072711562333794,-0.0076041280595471345
0.0,5.0,0.0738002643114477,-0.007552066599099355
0.0,5.0,0.07224185905234,-0.008156915541108837
0.0,5.0,0.0707570958982017,-0.008409556594226267
0.0,5.0,0.0687876272453402,-0.006385360414117378
0.0,5.0,0.0687146946899916,-0.006947118832885555
0.0,5.0,0.0672132249956146,-0.006887053872815696
0.0,5.0,0.065844734653534,-0.006845033613443329
0.0,5.0,0.0646286943983067,-0.007844127674344654
0.0,5.0,0.0631741060443218,-0.005087780873346435
0.0,5.0,0.0617357255928868,-0.012596167374161707
0.0,5.0,0.0594938194346579,-0.012066840697628995
0.0,5.0,0.0582103723266188,-0.01162634409415066
0.0,5.0,0.0566981400423407,-0.02123206902951935
0.0,5.0,0.0555345900576607,-0.020995152355151713
0.0,5.0,0.0528701433058184,-0.020465441030652367
0.0,5.0,0.0509471930878966,-0.02037545182633871
0.0,5.0,0.0489826499542764,-0.019868043875919828
0.0,5.0,0.0476039069610373,-0.019598614226275415
0.0,5.0,0.046452389320787,-0.01901435732892526
0.0,5.0,0.0456021263680904,-0.01870474329307239
0.0,5.0,0.0444459112565261,-0.0178847116949315
0.0,5.0,0.0463090628874267,-0.017804498976605104
0.0,5.0,0.0454242259531152,-0.017030610272267536
0.0,5.0,0.0444632130651096,-0.01652229393664221
0.0,5.0,0.0430895637867931,-0.01929975519077255
0.0,5.0,0.0344403333322259,-0.015889157425267433
0.0,5.0,0.033761764743651,-0.018707567574618895
0.0,5.0,0.0339706776867465,-0.018523841029397147
0.0,5.0,0.033909046463771,-0.017251051959230337
0.0,5.0,0.0105727373881036,-0.016906832229197116
0.0,5.0,0.0104864837738684,-0.016199975393094077
0.0,5.0,0.0148821040682854,-0.018189593244574098
0.0,5.0,0.015592954817904,-0.017506066781862607
0.0,5.0,0.0153184713315518,-0.017182464209194358
0.0,5.0,0.0153029814231644,-0.01720204382743054
0.0,5.0,0.015105430729704,-0.013931708321294225
0.0,5.0,0.0138611504863314,-0.01341358411942309
0.0,5.0,0.0132105778632905,-0.013187533228820877
0.0,5.0,0.0144712384231553,-0.01286267443341455
0.0,5.0,0.0139489711726091,-0.012474810579434073
0.0,5.0,0.0128806785129512,-0.011791744321795854
0.0,5.0,0.0134744724475947,-0.011234853997834382
0.0,5.0,0.0136072236850086,-0.013347011521167094
0.0,5.0,0.0131106900595227,-0.012681624491557963
0.0,5.0,0.0127762754886964,-0.012537065655397944
0.0,5.0,-0.0449187018140358,-0.012367352728075726
0.0,5.0,-0.0436326923642862,-0.012771894713701054
0.0,5.0,-0.0430453913299021,-0.012319627677816724
0.0,5.0,-0.0419354414344765,-0.012195881748093074
