template,K,i0_k5,i1_k5
0.0,5.0,0.5186946470364219,0.24675832529517605
0.0,5.0,0.537455911737094,0.2653291129637474
0.0,5.0,0.5568093017332693,0.2846034096077774
0.0,5.0,0.5747827057300371,0.3028559245279888
0.0,5.0,0.5919986686119352,0.3216781529622412
0.0,5.0,0.6118527896389653,0.34191900642537815
0.0,5.0,0.6300711423185398,0.36036766057853276
0.0,5.0,0.6480562128688274,0.3791381400555894
0.0,5.0,0.6643401122953615,0.3988552504941946
0.0,5.0,0.6828304134067873,0.41640052043331655
0.0,5.0,0.7000345109395162,0.43818528101100623
0.0,5.0,0.7174125898040621,0.45691656462883967
0.0,5.0,0.734827655281354,0.47378823716376384
0.0,5.0,0.7543253089719902,0.49164985731087774
0.0,5.0,0.771477672613647,0.5101623971298366
0.0,5.0,0.7880763390316448,0.5283981095370296
0.0,5.0,0.804846150253516,0.5462923995526962
0.0,5.0,0.8230168177565287,0.5653404649391365
0.0,5.0,0.8405728353644303,0.583352383882321
0.0,5.0,0.8566961813034992,0.602107174803897
0.0,5.0,0.8728601928745323,0.6205646437629085
0.0,5.0,0.8890333321897318,0.6396513612455226
0.0,5.0,0.90592740201768,0.658029865707791
0.0,5.0,0.9218828985728864,0.6757437975054866
0.0,5.0,0.93012185780793,0.6830343247193491
0.0,5.0,0.9471558572824996,0.7009061289293719
0.0,5.0,0.963159798347526,0.7173588185198279
0.0,5.0,0.9797746526778196,0.746182743350981
0.0,5.0,0.9956691438835292,0.7636996176663473
0.0,5.0,1.011920710972252,0.78128779152451
0.0,5.0,1.0282867554330422,0.7944945011654596
0.0,5.0,1.0420099019001563,0.8119763004629496
0.0,5.0,1.0572935867045945,0.8296596647879656
0.0,5.0,1.072221449553416,0.8448822451084489
0.0,5.0,1.0873652743857134,0.8620397087729118
0.0,5.0,1.1027811193323906,0.8777156429013939
0.0,5.0,1.1178526995086495,0.8932297174359561
0.0,5.0,1.1595702614949617,0.9077105134380572
0.0,5.0,1.1736623408264175,0.9239106429199356
0.0,5.0,1.1875038267771338,0.941215260425025
0.0,5.0,1.2018826861340772,0.9573825895798707
0.0,5.0,1.2145408744949424,0.9710390736981683
0.0,5.0,1.227672818002688,0.9896087447236527
0.0,5.0,1.2395196703580846,1.0054114806521308
0.0,5.0,1.252522578961242,1.0204585879159394
0.0,5.0,1.2657120387073502,1.0354775208982692
0.0,5.0,1.2795269990247635,1.0507729736627496
0.0,5.0,1.2925252815819417,1.0658501958455382
0.0,5.0,1.3060248280744955,1.081922699543927
0.0,5.0,1.3181354243051415,1.0951890800067594
0.0,5.0,1.330689555080557,1.1110775841570562
0.0,5.0,1.3416388851765757,1.1257956619254261
0.0,5.0,1.357536518643533,1.1419726498784768
0.0,5.0,1.368433835535671,1.155801803279602
0.0,5.0,1.3807449789920594,1.167358541010225
0.0,5.0,1.3931504586468249,1.1812711740343622
0.0,5.0,1.4055495476214868,1.1960824647162853
0.0,5.0,1.4178170431831385,1.210530231229204
0.0,5.0,1.428141323937458,1.224421068741271
0.0,5.0,1.4395987453045405,1.2362464966504636
0.0,5.0,1.450780015701185,1.2498976319675619
0.0,5.0,1.462005568446579,1.262890347564831
0.0,5.0,1.473452240269221,1.2006408704542313
0.0,5.0,1.484656066179542,1.215881355647533
0.0,5.0,1.4963579075160371,1.2296520187213962
0.0,5.0,1.505283207701232,1.2437500947164322
0.0,5.0,1.5160903908601864,1.2574361171522972
0.0,5.0,1.5277770169742668,1.270630658984512
0.0,5.0,1.5394397637655068,1.2851177524907234
0.0,5.0,1.5506483488084335,1.2981191175456375
0.0,5.0,1.5585937065272977,1.3115967136448234
0.0,5.0,1.570092767134379,1.3246559352506548
0.0,5.0,1.579783656308856,1.337560523122098
0.0,5.0,1.5894669733668094,1.3496127765391754
0.0,5.0,1.6009678956777835,1.3632624916252187
0.0,5.0,1.6104923249567131,1.3760025600043668
0.0,5.0,1.6189562223287002,1.3877852750979278
0.0,5.0,1.6255286928176078,1.400454661454618
0.0,5.0,1.6339759151896978,1.4118214323281542
0.0,5.0,1.6433638163807731,1.4236198391704578
0.0,5.0,1.6514110487483389,1.4348427920613074
0.0,5.0,1.6603176213820148,1.4461813590986323
0.0,5.0,1.6689350703270145,1.4575064108876927
0.0,5.0,1.6773478148552057,1.4673613175797193
0.0,5.0,1.6856989363430857,1.47884907865762
0.0,5.0,1.6932466563722497,1.491029666820092
0.0,5.0,1.7012545391493288,1.5017301379054024
0.0,5.0,1.709439084992455,1.5118884707557412
0.0,5.0,1.7176106592434612,1.5222970081215852
0.0,5.0,1.725982153735174,1.5362722857077342
0.0,5.0,1.7340442008175934,1.5466285255791015
0.0,5.0,1.7421191927333923,1.5632089216997767
0.0,5.0,1.7501875843700625,1.5717568879790023
0.0,5.0,1.7576188656372669,1.5804930056747752
0.0,5.0,1.7659869556537957,1.5904675071717085
0.0,5.0,1.774190949479465,1.6030262588507718
0.0,5.0,1.7818834146990017,1.6124146101450771
0.0,5.0,1.788508493980122,1.6212613681664516
0.0,5.0,1.7954660544633925,1.6295420230355093
0.0,5.0,1.8002593537336908,1.6387759064997236
0.0,5.0,1.807792663125368,1.6478337709034803
0.0,5.0,1.814600368662836,1.6571299778977202
0.0,5.0,1.818357001502852,1.6653086652272278
0.0,5.0,1.8242135251959184,1.674268872417489
0.0,5.0,1.827721584453564,1.6832128719543458
0.0,5.0,1.838424688959549,1.6889337828828306
0.0,5.0,1.847260951236159,1.6960318132788443
0.0,5.0,1.8534582209799,1.7043587990860571
0.0,5.0,1.8595078257473,1.7126346303637148
0.0,5.0,1.8655192176816275,1.720068860211192
