,gamma_sample,k,run
0,0.055458425225736165,1.0,0.0
1,0.08952643438937169,1.0,1.0
2,0.17552785371145252,1.0,2.0
3,0.1164063699650834,1.0,3.0
4,0.10360021160647936,1.0,4.0
5,0.056948919758544804,1.0,5.0
6,0.11641163494258921,1.0,6.0
7,0.12663587770369786,1.0,7.0
8,0.039871406486552456,1.0,8.0
9,0.2187300765131498,1.0,9.0
10,0.05311259058126616,1.0,10.0
11,0.1319731058383815,1.0,11.0
12,0.14636248245164826,1.0,12.0
13,0.11730071007806556,1.0,13.0
14,0.09906323748241576,1.0,14.0
15,0.05639646474459265,1.0,15.0
16,0.05794879525109434,1.0,16.0
17,0.06920619455494904,1.0,17.0
18,0.06803129336684552,1.0,18.0
19,0.0843673270470533,1.0,19.0
20,0.08080133643756154,1.0,20.0
21,0.11855541360994365,1.0,21.0
22,0.09489882098760599,1.0,22.0
23,0.04874144654273175,1.0,23.0
24,0.12617626810136842,1.0,24.0
25,0.09877536212140697,1.0,25.0
26,0.07064176362284658,1.0,26.0
27,0.11158118359929045,1.0,27.0
28,0.09909700599989188,1.0,28.0
29,0.14983595547018946,1.0,29.0
30,0.16266917264908162,1.0,30.0
31,0.09132810603419282,1.0,31.0
32,0.1497639275920915,1.0,32.0
33,0.08928478678070684,1.0,33.0
34,0.09017293672312407,1.0,34.0
35,0.19325294957285283,1.0,35.0
36,0.06407781434501122,1.0,36.0
37,0.1598470099849731,1.0,37.0
38,0.06316149541800553,1.0,38.0
39,0.08115360006513983,1.0,39.0
40,0.08231164346272812,1.0,40.0
41,0.051068409848758635,1.0,41.0
42,0.09551788271199149,1.0,42.0
43,0.08859248706103438,1.0,43.0
44,0.06180701723726226,1.0,44.0
45,0.09868928567140457,1.0,45.0
46,0.03504332592444485,1.0,46.0
47,0.09624512951343814,1.0,47.0
48,0.032896488851514305,1.0,48.0
49,0.05585648063981301,1.0,49.0
50,0.05709686682090925,1.0,50.0
51,0.04810957803308991,1.0,51.0
52,0.026789425479351228,1.0,52.0
53,0.07651470333305839,1.0,53.0
54,0.11523760274206332,1.0,54.0
55,0.07232222163643895,1.0,55.0
56,0.1346964169192349,1.0,56.0
57,0.07616832341701502,1.0,57.0
58,0.054960107617222066,1.0,58.0
59,0.14473027278860842,1.0,59.0
60,0.08499604596621294,1.0,60.0
61,0.04542981537275732,1.0,61.0
62,0.05082416740918872,1.0,62.0
63,0.10722100585911719,1.0,63.0
64,0.054048144296717324,1.0,64.0
65,0.13383077259712542,1.0,65.0
66,0.09221932005091595,1.0,66.0
67,0.04967548671806468,1.0,67.0
68,0.08198261319520514,1.0,68.0
69,0.15631434784736936,1.0,69.0
70,0.0468700660683484,1.0,70.0
71,0.2074088947910191,1.0,71.0
72,0.05808900903385993,1.0,72.0
73,0.06774776166441213,1.0,73.0
74,0.05329981995624153,1.0,74.0
75,0.07227657507708035,1.0,75.0
76,0.09408445528452361,1.0,76.0
77,0.10883909512510104,1.0,77.0
78,0.05127807355194016,1.0,78.0
79,0.06380572360204656,1.0,79.0
80,0.11411721966083299,1.0,80.0
81,0.11781961968428303,1.0,81.0
82,0.10960214004531368,1.0,82.0
83,0.040158718896040724,1.0,83.0
84,0.10575677266489293,1.0,84.0
85,0.04958880363335823,1.0,85.0
86,0.07609577020883418,1.0,86.0
87,0.06867809183905098,1.0,87.0
