,variance,k,run
0,0.0005292199894470389,100.0,0.0
1,0.00048044297104984175,100.0,1.0
2,0.0007735329259665313,100.0,2.0
3,0.0005559569671301789,100.0,3.0
4,0.0005324289108263622,100.0,4.0
5,0.0006789658564191549,100.0,5.0
6,0.0006638139630086212,100.0,6.0
7,0.0005638783466088285,100.0,7.0
8,0.0004562397525825285,100.0,8.0
9,0.0004508747243302456,100.0,9.0
10,0.0006285488608085262,100.0,10.0
11,0.0003856990867550542,100.0,11.0
12,0.0003481561948830141,100.0,12.0
13,0.00045761676556730583,100.0,13.0
14,0.0005900696751895204,100.0,14.0
15,0.0004928857452032754,100.0,15.0
16,0.0003938399773271108,100.0,16.0
17,0.0006004429243198058,100.0,17.0
18,0.0005084765585595097,100.0,18.0
19,0.0006345814374498372,100.0,19.0
20,0.0005924498060303361,100.0,20.0
21,0.000562665937425474,100.0,21.0
22,0.0006211885364298922,100.0,22.0
23,0.0005406730800562671,100.0,23.0
24,0.00046669347402175193,100.0,24.0
25,0.0004942437897586139,100.0,25.0
26,0.0004392666555448018,100.0,26.0
27,0.0004648573593769548,100.0,27.0
28,0.0004149412535514876,100.0,28.0
29,0.0005585329115710455,100.0,29.0
30,0.0008772663001532099,10.0,0.0
31,0.0016423362824202405,10.0,1.0
32,0.000885511220482809,10.0,2.0
33,0.0013835839038189963,10.0,3.0
34,0.0014181115607613778,10.0,4.0
35,0.0012891973554007364,10.0,5.0
36,0.0010408097894668432,10.0,6.0
37,0.0008421153623430417,10.0,7.0
38,0.001901784514847478,10.0,8.0
39,0.0014445742795327035,10.0,9.0
40,0.0009682141520976972,10.0,10.0
41,0.0011617188392121782,10.0,11.0
42,0.000981608560839701,10.0,12.0
43,0.0023107937103573847,10.0,13.0
44,0.0008822592758878012,10.0,14.0
45,0.0010991567141889222,10.0,15.0
46,0.0018189268877419297,10.0,16.0
47,0.0014168074203076918,10.0,17.0
48,0.0014465560313428004,10.0,18.0
49,0.0010648260159386138,10.0,19.0
50,0.001424396131163537,10.0,20.0
51,0.0017887501942783733,10.0,21.0
52,0.0014076421335885712,10.0,22.0
53,0.0005398879605276862,10.0,23.0
54,0.0012321671497329111,10.0,24.0
55,0.002697200747452394,10.0,25.0
56,0.0015680525792497423,10.0,26.0
57,0.0011721958798406923,10.0,27.0
58,0.00223654044692834,10.0,28.0
59,0.0007054418075217129,10.0,29.0
60,0.004222765127397255,1.0,0.0
61,0.006506526906327609,1.0,1.0
