,gamma_sample,k,run
0,0.007739406919285014,100.0,0.0
1,0.008354576041797162,100.0,1.0
2,0.009310758707045196,100.0,2.0
3,0.0084804587994151,100.0,3.0
4,0.008527952742555404,100.0,4.0
5,0.008222627555645486,100.0,5.0
6,0.0077353535942365145,100.0,6.0
7,0.009865813523222819,100.0,7.0
8,0.0074850112169051325,100.0,8.0
9,0.008099617151314915,100.0,9.0
10,0.010585899486472658,100.0,10.0
11,0.012185376322594537,100.0,11.0
12,0.00815983338088976,100.0,12.0
13,0.0100701151344353,100.0,13.0
14,0.009664517546331143,100.0,14.0
15,0.009153381017352248,100.0,15.0
16,0.006717780951544881,100.0,16.0
17,0.008522551432400254,100.0,17.0
18,0.006957817499936574,100.0,18.0
19,0.006811819863974116,100.0,19.0
20,0.006816850351569262,100.0,20.0
21,0.010598124395476829,100.0,21.0
22,0.007097619514326968,100.0,22.0
23,0.007455659068967261,100.0,23.0
24,0.012535524713054264,100.0,24.0
25,0.00836186610462585,100.0,25.0
26,0.007905490277221079,100.0,26.0
27,0.009616864856031061,100.0,27.0
28,0.010647500263077744,100.0,28.0
29,0.008845540011987525,100.0,29.0
30,0.007207016611684917,100.0,30.0
31,0.0114110204298359,100.0,31.0
32,0.008783394173058285,100.0,32.0
33,0.009396445736550671,100.0,33.0
34,0.005963033541182623,100.0,34.0
35,0.007412943864048473,100.0,35.0
36,0.008444218339381197,100.0,36.0
37,0.008653908765774012,100.0,37.0
38,0.010567574334076617,100.0,38.0
39,0.011009712944317466,100.0,39.0
40,0.013495394643750953,100.0,40.0
41,0.007502917429469581,100.0,41.0
42,0.010405052416214198,100.0,42.0
43,0.010568022933936407,100.0,43.0
44,0.008195979619356473,100.0,44.0
45,0.0062330287067482795,100.0,45.0
46,0.006728408663270717,100.0,46.0
47,0.00983376023499068,100.0,47.0
48,0.006289212184244337,100.0,48.0
49,0.007670575365290021,100.0,49.0
50,0.009746621896380887,100.0,50.0
51,0.009131225505296044,100.0,51.0
52,0.00930893066422719,100.0,52.0
53,0.011484617829935973,100.0,53.0
54,0.015028016831277562,100.0,54.0
55,0.009542861519845847,100.0,55.0
56,0.012941233120924527,100.0,56.0
57,0.009350811609243729,100.0,57.0
58,0.007473776093359532,100.0,58.0
59,0.015353798800987334,100.0,59.0
60,0.009933239327341862,100.0,60.0
61,0.011079900468830629,100.0,61.0
62,0.007057672612332707,100.0,62.0
63,0.008456510047145777,100.0,63.0
64,0.007380760153126475,100.0,64.0
65,0.007446235040326086,100.0,65.0
66,0.009605158063743603,100.0,66.0
67,0.008959430746060877,100.0,67.0
68,0.010731972146333885,100.0,68.0
69,0.009953469832810855,100.0,69.0
70,0.008607027914326916,100.0,70.0
71,0.007527211495728291,100.0,71.0
72,0.008789292713509811,100.0,72.0
73,0.0058457476733166265,100.0,73.0
74,0.007642531768502886,100.0,74.0
75,0.008296331705355266,100.0,75.0
76,0.007773078577241676,100.0,76.0
77,0.009364004891311652,100.0,77.0
78,0.010984267953193516,100.0,78.0
79,0.007645316542790846,100.0,79.0
80,0.007895289554300635,100.0,80.0
81,0.007824597114134278,100.0,81.0
82,0.00804700793482585,100.0,82.0
83,0.007904773905290517,100.0,83.0
84,0.010029502260278262,100.0,84.0
85,0.00911899740704196,100.0,85.0
86,0.009482967727661088,100.0,86.0
87,0.00826839483532282,100.0,87.0
