,gamma_sample,k,run
0,0.010725999032401881,100.0,0.0
1,0.010729121024847701,100.0,1.0
2,0.011479263835075752,100.0,2.0
3,0.010557252458325755,100.0,3.0
4,0.010866868706049408,100.0,4.0
5,0.01071586598761326,100.0,5.0
6,0.010994941525946246,100.0,6.0
7,0.012253053664062525,100.0,7.0
8,0.01088691480261679,100.0,8.0
9,0.010048206775862715,100.0,9.0
10,0.014472068874656427,100.0,10.0
11,0.013928538213166475,100.0,11.0
12,0.012138930700801248,100.0,12.0
13,0.011244541381542615,100.0,13.0
14,0.010192188776842987,100.0,14.0
15,0.010362533771689168,100.0,15.0
16,0.008692678045982661,100.0,16.0
17,0.008899791684561651,100.0,17.0
18,0.010022987816557078,100.0,18.0
19,0.009253428612811192,100.0,19.0
20,0.00835482818422497,100.0,20.0
21,0.011886766763465596,100.0,21.0
22,0.009711144941156716,100.0,22.0
23,0.008954018390321693,100.0,23.0
24,0.014002983801031287,100.0,24.0
25,0.011862814315475386,100.0,25.0
26,0.009555326778714963,100.0,26.0
27,0.011813568580032515,100.0,27.0
28,0.011988163870187061,100.0,28.0
29,0.012350878576143559,100.0,29.0
30,0.009986352627842768,100.0,30.0
31,0.016577124782351613,100.0,31.0
32,0.012297848367846462,100.0,32.0
33,0.009997307691951203,100.0,33.0
34,0.009102913050024534,100.0,34.0
35,0.009468889518414422,100.0,35.0
36,0.010886964140652499,100.0,36.0
37,0.010329096477895306,100.0,37.0
38,0.01270425278495485,100.0,38.0
39,0.012344964097307957,100.0,39.0
40,0.01493110181545005,100.0,40.0
41,0.009167625952056675,100.0,41.0
42,0.012645922871423708,100.0,42.0
43,0.011733047391099392,100.0,43.0
44,0.01164594468822527,100.0,44.0
45,0.00852159244154024,100.0,45.0
46,0.008670045009000659,100.0,46.0
47,0.011908585434301986,100.0,47.0
48,0.009108445782059944,100.0,48.0
49,0.010539505029706474,100.0,49.0
50,0.012448287264169017,100.0,50.0
51,0.010827499345805913,100.0,51.0
52,0.011717338041561502,100.0,52.0
53,0.013784868542696328,100.0,53.0
54,0.015348063953967771,100.0,54.0
55,0.010817102396276961,100.0,55.0
56,0.015425935554064324,100.0,56.0
57,0.014069017041617645,100.0,57.0
58,0.009216040887126842,100.0,58.0
59,0.01700248292958851,100.0,59.0
60,0.011998870200025878,100.0,60.0
61,0.012955359640178191,100.0,61.0
62,0.00990791375006481,100.0,62.0
63,0.010166816026336832,100.0,63.0
64,0.009551226210293022,100.0,64.0
65,0.009807921716922652,100.0,65.0
66,0.01170472758993107,100.0,66.0
67,0.010797031653620236,100.0,67.0
68,0.011966677230667902,100.0,68.0
69,0.012011153185516535,100.0,69.0
70,0.011215147848885741,100.0,70.0
71,0.009475770696715478,100.0,71.0
72,0.01139398759701023,100.0,72.0
73,0.007231939162052557,100.0,73.0
74,0.009760970682849946,100.0,74.0
75,0.010480973702224915,100.0,75.0
76,0.009508158059066811,100.0,76.0
77,0.01256109323050637,100.0,77.0
78,0.013876754005031714,100.0,78.0
79,0.00992447371620444,100.0,79.0
80,0.010091509739815256,100.0,80.0
81,0.01114723272419256,100.0,81.0
82,0.011694742834359097,100.0,82.0
83,0.011719466023336948,100.0,83.0
84,0.011326735831647027,100.0,84.0
85,0.011771344672619043,100.0,85.0
86,0.015012978039797113,100.0,86.0
87,0.009820011302601848,100.0,87.0
88,0.011661300846058324,100.0,88.0
89,0.010936263206309992,100.0,89.0
90,0.006628095025328581,100.0,90.0
91,0.008403454182347114,100.0,91.0
92,0.006215120957632296,100.0,92.0
93,0.010336314573310142,100.0,93.0
94,0.009457635839865544,100.0,94.0
95,0.00925242982083812,100.0,95.0
96,0.00983955195513227,100.0,96.0
97,0.011303143445293765,100.0,97.0
98,0.013664778013162722,100.0,98.0
99,0.017882817832811197,100.0,99.0
100,0.03535955323652831,10.0,0.0
101,0.014893704749461115,10.0,1.0
102,0.023616070253792774,10.0,2.0
103,0.014910855341630384,10.0,3.0
104,0.016974079322158393,10.0,4.0
105,0.024617233876678614,10.0,5.0
106,0.014302442195045617,10.0,6.0
107,0.022627802042021063,10.0,7.0
108,0.019911739008513188,10.0,8.0
109,0.02242953488444388,10.0,9.0
110,0.020017743749325405,10.0,10.0
111,0.02159925852086396,10.0,11.0
112,0.018544202587603906,10.0,12.0
113,0.04178833583015369,10.0,13.0
114,0.03542188134887661,10.0,14.0
115,0.025971171092696047,10.0,15.0
116,0.014970976238357879,10.0,16.0
117,0.03146063576647683,10.0,17.0
118,0.01854892373629953,10.0,18.0
119,0.02377043900256289,10.0,19.0
120,0.01368385388909333,10.0,20.0
121,0.019767734032319594,10.0,21.0
122,0.01373019307625559,10.0,22.0
123,0.026314743797422123,10.0,23.0
124,0.030774638945128937,10.0,24.0
125,0.0231620739427186,10.0,25.0
126,0.02733067585190113,10.0,26.0
127,0.02506469000663483,10.0,27.0
128,0.01492332727326668,10.0,28.0
129,0.018116795341742126,10.0,29.0
130,0.015698210756302317,10.0,30.0
131,0.028714249759517526,10.0,31.0
132,0.022618649997817278,10.0,32.0
133,0.02187122587412875,10.0,33.0
134,0.01537985560114049,10.0,34.0
135,0.03382432295272786,10.0,35.0
136,0.014547152816645818,10.0,36.0
137,0.026134245325842513,10.0,37.0
138,0.02330198342156562,10.0,38.0
139,0.01933868616410192,10.0,39.0
140,0.022762155071204347,10.0,40.0
141,0.023532581411721425,10.0,41.0
142,0.013447835205015734,10.0,42.0
