template,K,i0_k5,i1_k5
0.0,5.0,0.5199491494319879,0.3537212528607183
0.0,5.0,0.5405849886140823,0.3671200503937708
0.0,5.0,0.5619574288533256,0.3867156601646234
0.0,5.0,0.5753469162476171,0.3994542316601628
0.0,5.0,0.5941731326400322,0.4164210213234588
0.0,5.0,0.6223870126759298,0.4439318963538145
0.0,5.0,0.6396362478017078,0.46055386700625456
0.0,5.0,0.6582949434028442,0.4772041563487149
0.0,5.0,0.670003675524299,0.49900103358309916
0.0,5.0,0.6933476631834653,0.5121032978646305
0.0,5.0,0.7081371175287429,0.541462319579362
0.0,5.0,0.7235023624164605,0.5576404440899204
0.0,5.0,0.7397094197761341,0.5681603017096881
0.0,5.0,0.7588796491744343,0.578002534048678
0.0,5.0,0.7746087000845929,0.5957259041801808
0.0,5.0,0.7882528817672315,0.6123270080302202
0.0,5.0,0.8038552610732553,0.6275238246725735
0.0,5.0,0.8231673725914614,0.6476720619711707
0.0,5.0,0.8423715858235105,0.6633240609266279
0.0,5.0,0.8525256172984755,0.6837162729377575
0.0,5.0,0.8646949433208949,0.7040912074444206
0.0,5.0,0.8796540124325534,0.7256536087001659
0.0,5.0,0.8996351749507856,0.746324269358582
0.0,5.0,0.9136845978627012,0.762699896453594
0.0,5.0,0.9146765836153006,0.7773664114745693
0.0,5.0,0.9338388553924464,0.7957432453467054
0.0,5.0,0.9495555239142563,0.8154512031395356
0.0,5.0,0.9680865208902216,0.8476574005388985
0.0,5.0,0.984823061714112,0.8681889345223142
0.0,5.0,1.0046485948146442,0.8901967147592232
0.0,5.0,1.0258412516394249,0.893202625434361
0.0,5.0,1.0385732235742715,0.9127067078959635
0.0,5.0,1.0534410624516568,0.9305650756223594
0.0,5.0,1.0665243841183936,0.9441110549431292
0.0,5.0,1.082900173883893,0.9631126421208154
0.0,5.0,1.1004440926030603,0.9746683727670794
0.0,5.0,1.119398447954667,0.9861808437516233
0.0,5.0,1.1686602964793733,0.9990380771095184
0.0,5.0,1.180357606837774,1.0128435639197957
0.0,5.0,1.1936409802735444,1.0343954485715867
0.0,5.0,1.211528349055001,1.0505746327653092
0.0,5.0,1.226893668971027,1.0567436961566317
0.0,5.0,1.234239969007337,1.0804179888832592
0.0,5.0,1.2419435481284242,1.0961217699243873
0.0,5.0,1.254095128876496,1.1078307248016548
0.0,5.0,1.2661983658766756,1.1198674317684374
0.0,5.0,1.2825714243601716,1.134378812695797
0.0,5.0,1.2946903761377793,1.1492885466978084
0.0,5.0,1.310228640277888,1.1691625092435785
0.0,5.0,1.3184872762113298,1.18051274419519
0.0,5.0,1.3296229386003389,1.1994934630431042
0.0,5.0,1.3359388449617422,1.2134215561035682
0.0,5.0,1.3575758558862832,1.2377961518109852
0.0,5.0,1.366777124313422,1.2470821840472814
0.0,5.0,1.3804794747643816,1.253444252225822
0.0,5.0,1.3962616104637882,1.2651112273105842
0.0,5.0,1.4082563944887851,1.283337689340825
0.0,5.0,1.421406605216197,1.3003965466444096
0.0,5.0,1.4286212061951629,1.3145974301862562
0.0,5.0,1.438202160822599,1.325969981740631
0.0,5.0,1.4490330467667696,1.3386087693344206
0.0,5.0,1.4601929567696397,1.349647106055454
0.0,5.0,1.4709225600256497,1.276740794715758
0.0,5.0,1.485846131990157,1.29363171370685
0.0,5.0,1.5003934112771795,1.3074766981417294
0.0,5.0,1.5009497998325694,1.3251223967725156
0.0,5.0,1.5123270400920843,1.3395374782156466
0.0,5.0,1.5300273725141842,1.3500021988900546
0.0,5.0,1.5438087738730726,1.3669401899580813
0.0,5.0,1.5592070222660397,1.3792894463567742
0.0,5.0,1.5644707797242232,1.3958058274111236
0.0,5.0,1.5759968462240654,1.4094377298402117
0.0,5.0,1.5848431542121144,1.4239089811247765
0.0,5.0,1.594261283119757,1.4336514673067686
0.0,5.0,1.6101736208158377,1.4445515872897097
0.0,5.0,1.620186526706343,1.4623870530377059
0.0,5.0,1.6256257375079417,1.4699159786442866
0.0,5.0,1.6245611658741408,1.483457802979407
0.0,5.0,1.627805688007516,1.4911212979423019
0.0,5.0,1.639337625309225,1.5022051869941075
0.0,5.0,1.644070765084301,1.5102933362151498
0.0,5.0,1.6535281152913923,1.5201155646475917
0.0,5.0,1.6604021043133157,1.5310190168213405
0.0,5.0,1.6694870771269588,1.5376934829419269
0.0,5.0,1.675584569964223,1.5500060231800765
0.0,5.0,1.6789967346503694,1.567673397380409
0.0,5.0,1.6857792933272706,1.5771015460284477
0.0,5.0,1.6947772613613528,1.5861897996800982
0.0,5.0,1.7034867921170715,1.593314111358482
0.0,5.0,1.7114977471503023,1.6153893960910561
0.0,5.0,1.720302354281962,1.6249982051983305
0.0,5.0,1.729682254234871,1.6460873326318606
0.0,5.0,1.7393208441099843,1.6506061659397466
0.0,5.0,1.7461180671231136,1.6556848282460037
0.0,5.0,1.759213471191582,1.664988881641092
0.0,5.0,1.7722597706366192,1.6814256672742602
0.0,5.0,1.782534521610553,1.6881361787839773
0.0,5.0,1.7858708684577933,1.6931034904874551
0.0,5.0,1.7940222824681236,1.698334619624097
0.0,5.0,1.7946351046702538,1.7070749572820183
0.0,5.0,1.80674947680521,1.718154406136936
0.0,5.0,1.814534200764621,1.7258821086872633
0.0,5.0,1.812648652294444,1.7303051705464607
0.0,5.0,1.8145996504277573,1.740687381640006
0.0,5.0,1.816309598675156,1.7518156628248913
0.0,5.0,1.8339181927101835,1.7471878843224815
0.0,5.0,1.846820141049208,1.7486363728006817
0.0,5.0,1.8539468322733863,1.7572100487642457
0.0,5.0,1.8589672301209983,1.7657294936380268
0.0,5.0,1.8652535575777545,1.7722653755133904
0.0,5.0,1.870821666791653,1.766607931768279
0.0,5.0,1.8840820399292757,1.7836913176955342
0.0,5.0,1.9025216604695816,1.7876928780301022
0.0,5.0,1.90433048462854,1.8078445623493757
0.0,5.0,1.9106370395430536,1.8140633729517883
0.0,5.0,1.9144147790606736,1.8181795311443878
0.0,5.0,1.916431079405412,1.8269293125578658
0.0,5.0,1.923999387487694,1.8343665686284178
0.0,5.0,1.935564685629913,1.8425562790664172
0.0,5.0,1.9538634911929795,1.8461090930413533
0.0,5.0,1.9529447135620557,1.8557365760491065
0.0,5.0,1.957708561116307,1.8497712620908273
0.0,5.0,1.966534033987056,1.8571070757956347
0.0,5.0,1.9728546864810383,1.864128198290085
0.0,5.0,1.9751703437669097,1.8747239629430417
0.0,5.0,1.979514242177938,1.8751139486720134
0.0,5.0,1.98409331882154,1.8811859931566324
0.0,5.0,1.9845979646710457,1.8866180535393269
0.0,5.0,1.9910500225430343,1.8895166079980068
0.0,5.0,1.9940412635298117,1.915566515683364
0.0,5.0,1.9915501845563937,1.927072225029797
0.0,5.0,1.9910644362925407,1.9261405974246786
0.0,5.0,1.9884427504391884,1.9307493153883835
0.0,5.0,1.9895698750112945,1.9417335740055177
0.0,5.0,1.997468207094689,1.9419212658940943
0.0,5.0,1.987862882013101,1.947352518139359
0.0,5.0,1.9893726882093368,1.9430653026512241
0.0,5.0,1.9923843049921763,1.9507336194032916
0.0,5.0,1.9942506984903687,1.9523484826682895
0.0,5.0,1.9983510050125048,1.9578854606905913
0.0,5.0,2.005292885695975,1.9450629219977176
0.0,5.0,2.014185575128129,1.9542525632095333
0.0,5.0,2.019643190919438,1.9424856937435009
0.0,5.0,2.021664408111832,1.9509887794165817
0.0,5.0,2.02648555966244,1.9545344627968808
0.0,5.0,2.028189470640206,1.9594734936061933
0.0,5.0,2.023858871122427,1.9662901758608988
0.0,5.0,2.0293564736077805,1.9710325653447989
0.0,5.0,2.052501069625613,1.9725710654296935
0.0,5.0,2.059735510377812,1.9691369576784
0.0,5.0,2.060179827884,1.97152903862014
0.0,5.0,2.0611503204989527,1.977826635628652
0.0,5.0,2.063056169539967,1.985797110470648
0.0,5.0,2.065699753064314,1.9927309761768153
0.0,5.0,2.123521165464775,1.9921865367086284
0.0,5.0,2.128878274987666,1.9930895584119581
0.0,5.0,2.1365467848646933,1.9997841344430722
0.0,5.0,2.13236624346651,2.0048014489827897
0.0,5.0,2.138499125298662,2.0097389759147433
0.0,5.0,2.137808614925248,2.0126392583862347
0.0,5.0,2.145939619926124,2.016325120493651
0.0,5.0,2.147093672045586,2.0153384788119477
0.0,5.0,2.148367649513735,2.0169343064828515
0.0,5.0,2.147910461421024,2.025821431041609
0.0,5.0,2.148990821913576,2.0267128824542815
0.0,5.0,2.1484526542220777,2.0294177509269464
0.0,5.0,2.148684734552884,2.0319181200306167
0.0,5.0,2.1514448306952274,2.0370684975299773
0.0,5.0,2.154484693065946,2.050063690633765
0.0,5.0,2.155031082708778,2.0395789493527072
0.0,5.0,2.1535244768820294,2.0459606967291992
0.0,5.0,2.154184033394132,2.051185282010839
0.0,5.0,2.1544532038916047,2.0371928369729604
0.0,5.0,2.1551813630140115,2.038526893800259
0.0,5.0,2.1517470595094133,2.042133736836576
0.0,5.0,2.147424398887348,2.041795088273717
0.0,5.0,2.1420471549265967,2.046136166871067
0.0,5.0,2.1428399180613757,2.047911717336041
0.0,5.0,2.143432420928713,2.0532668302562422
0.0,5.0,2.145545380198761,2.0573835391800785
0.0,5.0,2.1477689791448014,2.0638987718064308
0.0,5.0,2.15638257191334,2.0648317713701774
0.0,5.0,2.1575579360905373,2.0691878631239145
0.0,5.0,2.15737766510387,2.073228624558781
0.0,5.0,2.156262289635066,2.075934189824871
0.0,5.0,2.1377747781711456,2.0844673387988895
0.0,5.0,2.138899474925858,2.0829990125344797
0.0,5.0,2.145012035575177,2.083803282199057
0.0,5.0,2.1510882665168114,2.093193696057817
0.0,5.0,2.130136898643738,2.0952991668623766
0.0,5.0,2.133415252567373,2.1000709788269094
0.0,5.0,2.1514470444105576,2.097209517538762
0.0,5.0,2.1550644843340696,2.1027621198106132
0.0,5.0,2.157531302164757,2.105066616261276
0.0,5.0,2.160459257404691,2.1025597722437586
0.0,5.0,2.161782809250524,2.1151347689165787
0.0,5.0,2.156892374950819,2.118523281468294
0.0,5.0,2.153996389616626,2.1190712399140272
0.0,5.0,2.1636319046870804,2.1215259440008487
0.0,5.0,2.161542625856602,2.12466767589199
0.0,5.0,2.15681021605666,2.1283693093531544
