,gamma_sample,k,run
0,0.0024884847548117695,100.0,0.0
1,0.0020891746590544664,100.0,1.0
2,0.002846880265506181,100.0,2.0
3,0.002617279692190672,100.0,3.0
4,0.002350620803997447,100.0,4.0
5,0.002294030298493328,100.0,5.0
6,0.0024287332863388057,100.0,6.0
7,0.0024716483920661273,100.0,7.0
8,0.002269046319570561,100.0,8.0
9,0.0024663128025447815,100.0,9.0
10,0.0024090476870717832,100.0,10.0
11,0.002815608835852563,100.0,11.0
12,0.002679736117098785,100.0,12.0
13,0.002426804670706104,100.0,13.0
14,0.002347572911606478,100.0,14.0
15,0.0025408666530372386,100.0,15.0
16,0.00256598225333003,100.0,16.0
17,0.002456796188228812,100.0,17.0
18,0.0025764089942408447,100.0,18.0
19,0.0024041618279882072,100.0,19.0
20,0.0021453815966302504,100.0,20.0
21,0.0024256957804874306,100.0,21.0
22,0.0025213321745857914,100.0,22.0
23,0.0023304467579714347,100.0,23.0
24,0.002951432700630788,100.0,24.0
25,0.0023751430556032387,100.0,25.0
26,0.0026993458323161384,100.0,26.0
27,0.002647429324767347,100.0,27.0
28,0.002346809889120984,100.0,28.0
29,0.00276570876350863,100.0,29.0
30,0.0025121213124682726,100.0,30.0
31,0.0023674122420181357,100.0,31.0
32,0.0026107853683446356,100.0,32.0
33,0.0024070969511813907,100.0,33.0
34,0.0020348204654994668,100.0,34.0
35,0.0022898523088597305,100.0,35.0
36,0.0022322920406885657,100.0,36.0
37,0.0025105472037041045,100.0,37.0
38,0.002475070139728428,100.0,38.0
39,0.0026740211372437706,100.0,39.0
40,0.0025610345918033856,100.0,40.0
41,0.002461962080930305,100.0,41.0
42,0.0029757417948689273,100.0,42.0
43,0.002582769531661014,100.0,43.0
44,0.002559355631844319,100.0,44.0
45,0.002346774828948724,100.0,45.0
46,0.002507208122805268,100.0,46.0
47,0.00265381024086296,100.0,47.0
48,0.0025189215229826,100.0,48.0
49,0.0028754781080458213,100.0,49.0
50,0.002642249117491595,100.0,50.0
51,0.002402385057956041,100.0,51.0
52,0.0024540578754391014,100.0,52.0
53,0.0028145141392406006,100.0,53.0
54,0.0027414700944417302,100.0,54.0
55,0.002616427736195329,100.0,55.0
56,0.00260149395320938,100.0,56.0
57,0.002584309144110443,100.0,57.0
58,0.0027131845993639157,100.0,58.0
59,0.0028034599232677334,100.0,59.0
60,0.0026327868184125077,100.0,60.0
61,0.002682543210222825,100.0,61.0
62,0.0025357632783973892,100.0,62.0
63,0.0028608350017992057,100.0,63.0
64,0.002016453040631844,100.0,64.0
65,0.002371331648735954,100.0,65.0
66,0.0024478001173622553,100.0,66.0
67,0.0024529072012734457,100.0,67.0
68,0.0024608852023122784,100.0,68.0
69,0.002723221150023333,100.0,69.0
70,0.0023792827605207314,100.0,70.0
71,0.002349345674960935,100.0,71.0
72,0.002906381692885045,100.0,72.0
73,0.001959427667284662,100.0,73.0
74,0.0020879140051902325,100.0,74.0
75,0.0027209777195176103,100.0,75.0
76,0.002772400682414856,100.0,76.0
77,0.002415094368874571,100.0,77.0
78,0.0026772248520421454,100.0,78.0
79,0.002724396865314932,100.0,79.0
80,0.0024134141561141667,100.0,80.0
81,0.002649723693731773,100.0,81.0
82,0.00278947662839345,100.0,82.0
83,0.002763604303375758,100.0,83.0
84,0.0027278329310281126,100.0,84.0
85,0.0025806322643801014,100.0,85.0
86,0.002716868542293415,100.0,86.0
87,0.002417451323946251,100.0,87.0
88,0.0023314925742742125,100.0,88.0
89,0.002551784695401159,100.0,89.0
90,0.0022673888140450245,100.0,90.0
91,0.0024341818031059673,100.0,91.0
92,0.0023281054231468977,100.0,92.0
93,0.0024710476428801953,100.0,93.0
94,0.0021065812653599915,100.0,94.0
95,0.0021838957191103294,100.0,95.0
96,0.002189456332501507,100.0,96.0
97,0.0024080474103496266,100.0,97.0
98,0.00256429754379125,100.0,98.0
99,0.0027459198897204,100.0,99.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,0.0,0.0,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
256,0.0,0.0,0.0
257,0.0,0.0,0.0
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,0.0,0.0,0.0
261,0.0,0.0,0.0
262,0.0,0.0,0.0
263,0.0,0.0,0.0
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.0,0.0,0.0
271,0.0,0.0,0.0
272,0.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,0.0,0.0,0.0
280,0.0,0.0,0.0
281,0.0,0.0,0.0
282,0.0,0.0,0.0
283,0.0,0.0,0.0
284,0.0,0.0,0.0
285,0.0,0.0,0.0
286,0.0,0.0,0.0
287,0.0,0.0,0.0
288,0.0,0.0,0.0
289,0.0,0.0,0.0
290,0.0,0.0,0.0
291,0.0,0.0,0.0
292,0.0,0.0,0.0
293,0.0,0.0,0.0
294,0.0,0.0,0.0
295,0.0,0.0,0.0
296,0.0,0.0,0.0
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,0.0
303,0.0,0.0,0.0
304,0.0,0.0,0.0
305,0.0,0.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
308,0.0,0.0,0.0
309,0.0,0.0,0.0
