,gamma_sample,k,run,timestep,sample
0,0.03496125581973902,5.0,1.0,0.0,1
1,0.1088628517897626,4.97,1.0,300.0,1
2,0.017591142984429473,4.94,1.0,600.0,1
3,0.009441028661288584,4.91,1.0,900.0,1
4,0.008476363488657166,4.88,1.0,1200.0,1
5,0.03699931969502534,4.85,1.0,1500.0,1
6,0.016000314422331338,4.82,1.0,1800.0,1
7,0.01207449955454483,4.79,1.0,2100.0,1
8,0.007575442479962649,4.76,1.0,2400.0,1
9,0.010868166877872038,4.73,1.0,2700.0,1
10,0.05594339906519237,4.7,1.0,3000.0,1
11,0.010467663135868228,4.67,1.0,3300.0,1
12,0.010013667441462482,4.64,1.0,3600.0,1
13,0.06415156191738029,4.61,1.0,3900.0,1
14,0.02621306402146706,4.58,1.0,4200.0,1
15,0.01748733325282001,4.55,1.0,4500.0,1
16,0.00867283175106966,4.52,1.0,4800.0,1
17,0.08644294575521178,4.49,1.0,5100.0,1
18,0.057498024645990464,4.46,1.0,5400.0,1
19,0.032468155218923204,4.43,1.0,5700.0,1
20,0.030791666683805737,4.4,1.0,6000.0,1
21,0.007842876370956722,4.37,1.0,6300.0,1
22,0.0045448924044498955,4.34,1.0,6600.0,1
23,0.0031737992439238,4.31,1.0,6900.0,1
24,0.025483450118225927,4.28,1.0,7200.0,1
25,0.014789511600694595,4.25,1.0,7500.0,1
26,0.003810163280085721,4.22,1.0,7800.0,1
27,0.01676538509091966,4.19,1.0,8100.0,1
28,0.036427939142269536,4.16,1.0,8400.0,1
29,0.02850038702517551,4.13,1.0,8700.0,1
30,0.03397927695697525,4.1,1.0,9000.0,1
31,0.02522010085598191,4.07,1.0,9300.0,1
32,0.010832205635880122,4.04,1.0,9600.0,1
33,0.013360302780775789,4.01,1.0,9900.0,1
34,0.020809879925359216,3.98,1.0,10200.0,1
35,0.0056627377693097315,3.95,1.0,10500.0,1
36,0.020606527495157335,3.92,1.0,10800.0,1
37,0.010366394313650355,3.89,1.0,11100.0,1
38,0.18349678396153557,3.86,1.0,11400.0,1
39,0.040373847706100446,3.83,1.0,11700.0,1
40,0.18569413539778065,3.8,1.0,12000.0,1
41,0.010867240928626593,3.77,1.0,12300.0,1
