,gamma_sample,k,run
0,0.013755312042386563,100.0,0.0
1,0.013084509138351796,100.0,1.0
2,0.014038209506992763,100.0,2.0
3,0.014118667449352773,100.0,3.0
4,0.015681059201664745,100.0,4.0
5,0.014933044625371667,100.0,5.0
6,0.01398346141061766,100.0,6.0
7,0.014733444735465052,100.0,7.0
8,0.014559048038347244,100.0,8.0
9,0.012955090208446814,100.0,9.0
10,0.019170380699925146,100.0,10.0
11,0.01697647002960729,100.0,11.0
12,0.014814562187280162,100.0,12.0
13,0.017794409158104835,100.0,13.0
14,0.012632539009485431,100.0,14.0
15,0.013087337288895644,100.0,15.0
16,0.01247441559845845,100.0,16.0
17,0.013258649198336355,100.0,17.0
18,0.014249371312547086,100.0,18.0
19,0.012941400711755618,100.0,19.0
20,0.011769691272236288,100.0,20.0
21,0.01598638518235663,100.0,21.0
22,0.015048602020437977,100.0,22.0
23,0.010867369943511758,100.0,23.0
24,0.01584344907939688,100.0,24.0
25,0.017230957817209208,100.0,25.0
26,0.017266259826800023,100.0,26.0
27,0.013660168535084012,100.0,27.0
28,0.014877384830931534,100.0,28.0
29,0.016367371156375196,100.0,29.0
30,0.014439439483318238,100.0,30.0
31,0.016186868036114365,100.0,31.0
32,0.014660108186067163,100.0,32.0
33,0.012187145695082955,100.0,33.0
34,0.012703545106858415,100.0,34.0
35,0.01232977565850379,100.0,35.0
36,0.01276770872160996,100.0,36.0
37,0.011092395137685347,100.0,37.0
38,0.014696715060284846,100.0,38.0
39,0.014896716966782002,100.0,39.0
40,0.017764270296962877,100.0,40.0
41,0.012520688649306722,100.0,41.0
42,0.015861991617983018,100.0,42.0
43,0.015226809963925251,100.0,43.0
44,0.011942277820825433,100.0,44.0
45,0.012699317866487755,100.0,45.0
46,0.01176409362796392,100.0,46.0
47,0.01562527748511491,100.0,47.0
48,0.012735252750378442,100.0,48.0
49,0.015425844947227485,100.0,49.0
50,0.015398015812887605,100.0,50.0
51,0.013976025543613043,100.0,51.0
52,0.013280881688482241,100.0,52.0
53,0.017536927730930137,100.0,53.0
54,0.015379931619637072,100.0,54.0
55,0.014189645489867897,100.0,55.0
56,0.01909543019799893,100.0,56.0
57,0.01879259665763985,100.0,57.0
58,0.011967987731696501,100.0,58.0
59,0.021235785271133623,100.0,59.0
60,0.018267959016125407,100.0,60.0
