,gamma_sample,k,run
0,0.013718100235002237,100.0,0.0
1,0.013064641809242331,100.0,1.0
2,0.014004409293670844,100.0,2.0
3,0.01397512221877014,100.0,3.0
4,0.01567949609553292,100.0,4.0
5,0.014905903127351992,100.0,5.0
6,0.014108214935119916,100.0,6.0
7,0.014668413558118126,100.0,7.0
8,0.014441062549156385,100.0,8.0
9,0.012661239157171957,100.0,9.0
10,0.018750340029080485,100.0,10.0
11,0.017002190607115525,100.0,11.0
12,0.015581196833498793,100.0,12.0
13,0.017731349507233176,100.0,13.0
14,0.01255235083970855,100.0,14.0
15,0.01307566180694153,100.0,15.0
16,0.012220888248875433,100.0,16.0
17,0.013156977410379616,100.0,17.0
18,0.014358587954929902,100.0,18.0
19,0.012896325456475302,100.0,19.0
20,0.011724140850092317,100.0,20.0
21,0.016359101803245894,100.0,21.0
22,0.015040660774220265,100.0,22.0
23,0.010845999139246956,100.0,23.0
24,0.01581391624042897,100.0,24.0
25,0.01721770253111558,100.0,25.0
26,0.01726434228457068,100.0,26.0
27,0.014347187510306496,100.0,27.0
28,0.015278902340737619,100.0,28.0
29,0.01668821316861916,100.0,29.0
30,0.014863123424408771,100.0,30.0
31,0.01612107806750803,100.0,31.0
32,0.014635493092360998,100.0,32.0
33,0.012173774169475111,100.0,33.0
34,0.012827680782462365,100.0,34.0
35,0.0129779706886573,100.0,35.0
36,0.012740224565256492,100.0,36.0
37,0.01262144139762292,100.0,37.0
38,0.014698057241518014,100.0,38.0
39,0.015385257167218554,100.0,39.0
40,0.01633967556923316,100.0,40.0
41,0.01190365994065657,100.0,41.0
42,0.015872896093770444,100.0,42.0
43,0.01542400535872857,100.0,43.0
44,0.012104549228535747,100.0,44.0
45,0.012538286818653011,100.0,45.0
46,0.011753292869489798,100.0,46.0
47,0.01549014115936053,100.0,47.0
48,0.012834783464519849,100.0,48.0
49,0.015395239564023958,100.0,49.0
50,0.015381144212368445,100.0,50.0
51,0.013714654668996627,100.0,51.0
52,0.013253467803420765,100.0,52.0
53,0.017507106968912688,100.0,53.0
54,0.015478186807627792,100.0,54.0
55,0.01394559398746369,100.0,55.0
56,0.018419305158169162,100.0,56.0
57,0.01874908055896848,100.0,57.0
58,0.01151239862758105,100.0,58.0
59,0.02020011565772339,100.0,59.0
60,0.01822796288880042,100.0,60.0
61,0.014728560871663882,100.0,61.0
62,0.013945240714360112,100.0,62.0
