,gamma_sample,k,run
0,0.006261494306362941,10.0,0.0
1,0.005477451021663434,10.0,1.0
2,0.006399285082602464,10.0,2.0
3,0.006474504785170432,10.0,3.0
4,0.005827720982998526,10.0,4.0
5,0.007221305455483124,10.0,5.0
6,0.009889426215797265,10.0,6.0
7,0.0052828005477658,10.0,7.0
8,0.006766278949174498,10.0,8.0
9,0.008103449968439471,10.0,9.0
10,0.010267623374843705,10.0,10.0
11,0.016179823508107316,10.0,11.0
12,0.005980999452830313,10.0,12.0
13,0.007482449867632846,10.0,13.0
14,0.010618222904666963,10.0,14.0
15,0.007796288668689819,10.0,15.0
16,0.004403693012260212,10.0,16.0
17,0.0108436850508223,10.0,17.0
18,0.007511644091632153,10.0,18.0
19,0.004767182631628663,10.0,19.0
20,0.00562363721486588,10.0,20.0
21,0.011152890555897414,10.0,21.0
22,0.011143825799849502,10.0,22.0
23,0.005769981367114502,10.0,23.0
24,0.013276704682610559,10.0,24.0
25,0.01185437252405136,10.0,25.0
26,0.006287975868872732,10.0,26.0
27,0.00696714403775498,10.0,27.0
28,0.023826683718254416,10.0,28.0
29,0.009305959586076707,10.0,29.0
30,0.0074434740086189366,10.0,30.0
31,0.01775142013177717,10.0,31.0
32,0.012238774257597052,10.0,32.0
33,0.008000492126388557,10.0,33.0
34,0.004034932583704866,10.0,34.0
35,0.01143594884057216,10.0,35.0
36,0.008477077550996786,10.0,36.0
37,0.007749807190318019,10.0,37.0
38,0.014195199181127067,10.0,38.0
39,0.012288119068131483,10.0,39.0
40,0.01531455508514713,10.0,40.0
41,0.00716919763829893,10.0,41.0
42,0.010525330308453379,10.0,42.0
43,0.010963190517474028,10.0,43.0
44,0.008978494338057625,10.0,44.0
45,0.006288580774513176,10.0,45.0
46,0.00937200975569967,10.0,46.0
47,0.01118028248647699,10.0,47.0
48,0.00696022462790503,10.0,48.0
49,0.008821881514803254,10.0,49.0
50,0.010324357659984854,10.0,50.0
51,0.009785325019789234,10.0,51.0
52,0.009193979082506175,10.0,52.0
53,0.009158838388856293,10.0,53.0
54,0.022623950791868568,10.0,54.0
55,0.01040123743451828,10.0,55.0
56,0.02078315606770937,10.0,56.0
57,0.007192994396568451,10.0,57.0
58,0.007126954098097698,10.0,58.0
59,0.011197733740498851,10.0,59.0
60,0.010366055071929517,10.0,60.0
61,0.015253276681648352,10.0,61.0
62,0.005341366724793833,10.0,62.0
63,0.020623986170305454,10.0,63.0
64,0.007365551676112877,10.0,64.0
65,0.005654465294267077,10.0,65.0
66,0.013353202277302467,10.0,66.0
67,0.01079092690634331,10.0,67.0
68,0.010768834669543498,10.0,68.0
69,0.015067039710379633,10.0,69.0
70,0.006783704356941825,10.0,70.0
71,0.01549281213216781,10.0,71.0
72,0.005897334977238377,10.0,72.0
73,0.005772014630132661,10.0,73.0
74,0.005523617740151756,10.0,74.0
75,0.00814263122084307,10.0,75.0
76,0.011182041550031706,10.0,76.0
77,0.023013868670473336,10.0,77.0
78,0.008891506953757608,10.0,78.0
79,0.006305525716217347,10.0,79.0
80,0.007986437766128195,10.0,80.0
81,0.0096063095248555,10.0,81.0
82,0.005788830433184495,10.0,82.0
83,0.011411550681020434,10.0,83.0
84,0.00995146451597045,10.0,84.0
85,0.007445805327917176,10.0,85.0
86,0.011073309189820902,10.0,86.0
87,0.008965382660227556,10.0,87.0
88,0.0066704976155272655,10.0,88.0
89,0.00993034999862873,10.0,89.0
90,0.0038346684195683925,10.0,90.0
91,0.010615242648652684,10.0,91.0
92,0.0037986315309996156,10.0,92.0
93,0.007210343971818885,10.0,93.0
94,0.011196832744106716,10.0,94.0
95,0.011100438863374789,10.0,95.0
96,0.009947987803703142,10.0,96.0
97,0.008908699903036024,10.0,97.0
98,0.007450215226520507,10.0,98.0
99,0.012920523338885406,10.0,99.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
